Feature_ID	Domain	Phyla	Class	Order	Family	Genus	Species	Confidence
c6d99b6b9d889fd5702df1d2350852d6	d__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__Fimbriimonadaceae	 g__55-13	 s__55-13 sp001898035	0.975714314
4bd0b06275c812383ff8937600e21733	d__Bacteria	 p__Cyanobacteria	 c__Vampirovibrionia	 o__Obscuribacterales	 f__Obscuribacteraceae	 g__SBAT01	 s__SBAT01 sp005240105	0.99749657
b86862cb898d1bbaa79ed747c594963a	d__Bacteria	 p__Bdellovibrionota_E	 c__Bdellovibrionia_A_473294	 o__Bdellovibrionales	 f__SG-bin7	 g__SG-bin7	 s__SG-bin7 sp002083485	0.999999993
e2ad9c1923b08b2e84764b411b3cdd5e	d__Bacteria							0.999998754
e2c81bb963ab1532bbfcac4894d779db	d__Bacteria	 p__Chloroflexota	 c__Anaerolineae	 o__Aggregatilineales				0.80810252
1726813b1357a7e637258e27acd47f64	d__Bacteria	 p__Desulfobacterota_B	 c__Binatia	 o__Bin18	 f__	 g__	 s__	1
8fcd6a1288c83e3880e06e4d9a7ccd4f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales_616009	 f__Xanthomonadaceae_616009	 g__Pseudoxanthomonas_A_615337		0.989628423
911549addf2f2199eff48ca43bb8c389	d__Bacteria							0.999999259
f92c69a2a52219723e45bd9344843d04	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__M3007	 s__M3007 sp011368025	0.999999785
bf35cedd5dee00cc8b0836cbbd72a957	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__UBA4665			0.886690936
95e7f6fbd3f0cd32009f6c3b80bf27e4	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__UBA4720	 s__UBA4720 sp902812375	0.999327633
74460871ad78956cfa569fa760b32c18	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Geminicoccales	 f__Geminicoccaceae	 g__Arboricoccus	 s__Arboricoccus pini	0.891912226
15096abbd4b2922bfea7ab1122fa48a6	d__Bacteria	 p__Chloroflexota	 c__Dehalococcoidia	 o__UBA2979	 f__UBA2979	 g__SURF-43	 s__SURF-43 sp004297315	0.816539229
d755c3006820fc77e179a40b8ee2f870	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae	 g__Dyadobacter_906144		0.995338673
1555157d2e157e71c7295174b8920bc7	d__Bacteria							0.999999765
118bc49e1a564c7bc338e73d2d2402d0	d__Bacteria	 p__Chloroflexota	 c__Anaerolineae	 o__Ardenticatenales	 f__Ardenticatenaceae	 g__Ardenticatena	 s__Ardenticatena maritima	0.999999629
8cc0291d2bcb355929ebd54961c6d97c	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__OMJO01	 g__OMJO01	 s__OMJO01 sp900299395	0.870722703
8d1a3072c7f44063a55cc71a6a93675f	d__Bacteria	 p__Chloroflexota	 c__Anaerolineae	 o__Aggregatilineales	 f__A4b	 g__	 s__	0.832112826
cfe6922ecf7038d9183e0e0c9a8c927a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria					0.999276829
