asv DA_Intercept DA_Fraction_Viable_cells_Active
498c8fa0936f905893eaddbbc56fdeea FALSE FALSE
e9a302e5b72838416f26e120d2245bd1 FALSE FALSE
f66b5bad0d5903be886d0ea3211c08ad FALSE FALSE
6bfbe137c96adeeb70ed908bc8faf055 TRUE FALSE
d6b4b7cee2f004ec25e3f30e4a3d27d6 FALSE FALSE
19a4c357e7d28f042450baf8edbad799 TRUE FALSE
c1ba6063c3a43fe67bc900ae31fad1aa FALSE FALSE
c0b91a4bccaf63ec6d65083ee4b49013 FALSE FALSE
c2ec0f3ea9c6e1a302fafd539663a38c FALSE FALSE
00c211af096b51c6277e1265f256e1ff FALSE FALSE
573fb9b8385a6a11429280cd3b1dd47f FALSE FALSE
057d74883ee27a20b3006b353a076201 FALSE FALSE
ac8ab132dbb9cec68f1e13da419b1d29 FALSE FALSE
3dff9b3aafce1c2b5e3e145197298f2a FALSE FALSE
e8294d65d59ecd4bd36b2de467c5e4bc FALSE FALSE
3fd7fe10397330e4ebe6200e5a9c86fb FALSE FALSE
c1b961d9fa8c473aabb295b3ce9687d1 TRUE FALSE
15d3b5140ba038e00ce574b76e9202c8 FALSE FALSE
ff81c794293ef12765091350530afad2 FALSE FALSE
f7ce4bd2a74d99ea68350bb0a4365a05 FALSE FALSE
3adf03558d57c91c3412e60aed93b3af FALSE FALSE
49a547da29a79786d02f576a34be6eea FALSE FALSE
f864774b0e635e1b1a81ff348329bcce FALSE FALSE
a6facc90b4326eef8109db25acb11d38 FALSE TRUE
f13a7640696f6cda15c6e1c42b844e7e TRUE TRUE
9877c0a0fe91ae9c3d1a4f4809705731 TRUE FALSE
798b7be1f58da73fa7a566c49a895109 FALSE FALSE
164db9378ec0409cdb517e09d79d6fcb FALSE FALSE
69f0863c21ffb4985a0586fdbfbd564c FALSE TRUE
bf71bde7fd8694a197d2281c0e23142e FALSE FALSE
85d40c29af3cbb6868471dc1fa08996a FALSE FALSE
c01e08691e2034d78a00c35041f8963e TRUE TRUE
292220667ea1495a12116f6ccaea8e71 FALSE FALSE
50ff86811354119cb3b4b34b0ace7bc7 FALSE FALSE
59dcada1248650654d99cbe8589b37b4 FALSE FALSE
844d7535c6a5258e9c828e7bb85ee1b5 FALSE FALSE
2f6e6565078cfb5e3237c68a3451bbdd FALSE FALSE
27c83333fe08eb457e8e9f410e6d0155 TRUE FALSE
295fbf0f495366178bf44a492dee5160 FALSE FALSE
cf32dd68ba9969bc3df10c13ac3d99eb FALSE FALSE
82d583c5ad49479fc89a0f707bf8e7a7 FALSE FALSE
c7cfb2dfa9a70a42058f3f236bcdfa88 FALSE FALSE
78f9e06be84cc77b6f64546a1b29c133 TRUE FALSE
b2af3ab5d31f6e0388d7e26fcb0b54d0 TRUE TRUE
0f19570d0623d6f18eba81464c4fa69e FALSE FALSE
31bbe8b7164111cc6b4a75295d107032 FALSE FALSE
782f2367ac806831ed2d5565ad0db413 FALSE FALSE
7bfc7f72b68f242bddc2aede86c8a494 TRUE FALSE
2db780488000da98ad86c7f855837152 FALSE FALSE
dbbefc7866d806517739bcc1e40f52a1 FALSE FALSE
47985610b37ceceee12370001333a747 FALSE FALSE
2955a629308cfc6e21cd3687b61d1398 FALSE FALSE
aed68a8abadd80bac8816b353bcd4538 FALSE FALSE
54f0bc7fb3111e40985bc16b82467de7 FALSE FALSE
739604365eccc9933fbff2615ac8e449 FALSE FALSE
2bd659d3bbfb4df92f73094fab241d76 FALSE FALSE
3776e43b1d4482c12dd5886221045250 FALSE FALSE
b856dba095745a3c73ff430d38e2c11b FALSE FALSE
fa856441386d7293fc1475e5b5be5acf FALSE FALSE
662c7e1fdfd6a9e0ed19242acce1ed29 FALSE FALSE
0c5b5f7f07db5fc3b3745ebb1d10ccf7 TRUE FALSE
1a4e10b278fa24a4b529acbc2afebd9c FALSE FALSE
c1e2dc80dabaf4967f28b190fd8b6e9a FALSE FALSE
4d34b6cb86157389afb6c4e9f91bb193 FALSE FALSE
0728a1adde8a3971f0437772889c8d57 FALSE FALSE
16833f09e822bd7ff9937d4511136522 TRUE FALSE
79be006f9427ace0abc35fc4ede7f936 FALSE FALSE
d139f42d56faa380b591a975cd9055a6 FALSE FALSE
cdb6ee94cda0b44c23e30352de05f848 FALSE FALSE
4aff2d20455b96c0d1b80745bed367b6 FALSE FALSE
